terror,longitude,latitude
terror,89.354705,24.833108
terror,23.737191,37.987491
terror,69.384377,28.955469
terror,66.998824,30.182962
terror,66.998824,30.182962
terror,66.998824,30.182962
terror,68.225697,28.542062
terror,67.485894,28.612296
terror,44.460652,33.389934
terror,29.676132,6.80554
terror,44.213536,15.355873
terror,48.45814,15.841379
terror,67.755,32.666111
terror,69.136389,37.1175
terror,68.416757,33.549963
terror,16.588936,31.205314
terror,124.410877,7.285664
terror,124.832113,6.198367
terror,93.959828,24.823673
terror,125.476177,9.718216
terror,124.969311,7.991216
terror,18.583828,4.366584
terror,18.583828,4.366584
terror,34.086944,31.169722
terror,44.213536,15.355873
terror,44.213536,15.355873
terror,-13.693323,9.517441
terror,-5.912486,54.597985
terror,61.251891,28.247855
terror,9.778034,7.873037
terror,80.719147,19.984386
terror,81.681461,18.355194
terror,44.488947,33.305081
terror,44.641439,33.044312
terror,44.620763,34.880964
terror,43.725963,34.582434
terror,44.373779,33.664354
terror,44.620868,34.880926
terror,44.612324,34.87981
terror,36.420652,34.178932
terror,91.827015,22.34193
terror,91.918658,22.374841
terror,88.604694,23.664572
terror,88.83371,23.638729
terror,90.392495,23.731549
terror,34.465442,31.536022
terror,126.294545,8.82703
terror,123.4892,13.6978
terror,68.745306,36.178903
terror,36.998952,47.354656
terror,2.10218,15.385244
terror,72.723122,33.783165
terror,38.984493,48.695762
terror,38.705118,48.712559
terror,37.743035,48.068967
terror,-77.61931,1.08799
terror,39.4772,48.660118
terror,88.828436,24.590334
terror,39.227539,48.737814
terror,39.3073,48.78812
terror,38.789836,48.751468
terror,121.062278,14.495531
terror,90.393415,23.73184
terror,75.648478,11.765349
terror,75.636811,11.759187
terror,90.410991,23.708523
terror,90.4081,23.721468
terror,46.386111,5.535
terror,42.545636,-0.357922
terror,93.929436,24.810892
terror,94.269632,24.216438
terror,44.246389,15.799444
terror,65.054246,31.623036
terror,80.812864,18.79771
terror,121.974992,6.710943
terror,44.20169,33.509648
terror,44.26214,33.537227
terror,43.3,33.416611
terror,44.406374,33.389602
terror,44.391985,33.251411
terror,44.340211,33.243337
terror,43.299859,33.416591
terror,91.848916,22.368184
terror,90.395333,23.73198
terror,90.397055,23.72785
terror,90.393019,23.732626
terror,90.396216,23.731219
terror,90.406164,23.708637
terror,89.194325,22.349949
terror,90.423123,23.782043
terror,36.716284,34.712743
terror,67.06886,24.924549
terror,34.781415,32.085171
terror,83.40786,19.662248
terror,121.998024,6.532281
terror,68.541317,28.518939
terror,86.214452,26.841428
terror,37.986978,48.314128
terror,37.986978,48.314129
terror,90.568856,24.760025
terror,90.2706,22.633384
terror,38.632811,48.725793
terror,71.511591,34.740321
terror,39.490774,48.631187
terror,34.110425,31.211645
terror,34.110425,31.211645
terror,68.616381,28.629159
terror,68.334164,28.868734
terror,68.541317,28.518939
terror,64.373087,31.591101
terror,31.320047,30.088377
terror,45.340469,2.032623
terror,16.588936,31.205314
terror,93.697826,24.342341
terror,93.721188,24.434436
terror,93.937002,24.82072
terror,31.337406,29.84845
terror,44.8,15.4
terror,44.246389,15.799444
terror,68.764682,34.367196
terror,80.310065,20.270312
terror,121.970302,6.41971
terror,121.970697,6.419441
terror,40.935025,33.46446
terror,44.26214,33.537227
terror,44.460652,33.389934
terror,44.441866,33.362396
terror,44.493704,33.326038
terror,44.396927,33.425404
terror,44.339601,33.231895
terror,36.420652,34.178932
terror,44.26214,33.537227
terror,44.299981,33.272641
terror,44.35676,33.247211
terror,43.886423,34.192537
terror,37.197312,36.482176
terror,37.212222,36.565
terror,37.058333,35.818056
terror,76.455537,9.829387
terror,81.685681,18.782737
terror,37.779259,47.958573
terror,38.6325,48.725282
terror,90.358361,23.765844
terror,88.599401,24.375964
terror,90.424891,23.791707
terror,34.453593,31.522561
terror,91.73321,24.308096
terror,71.237938,30.582359
terror,66.850045,29.800097
terror,30.84229,29.31053
terror,31.341158,30.119213
terror,122.094939,6.928028
terror,101.3885,6.491822
terror,69.572493,32.298811
terror,45.033244,12.800022
terror,36.418038,34.260096
terror,12.801891,11.885962
terror,9.846879,10.317786
terror,44.363862,33.368122
terror,44.354167,33.061667
terror,44.514905,33.372164
terror,44.284506,33.365965
terror,44.281974,33.350004
terror,84.537946,23.04413
terror,85.282615,23.041754
terror,91.833222,22.35174
terror,88.398099,24.633056
terror,70.963056,33.95
