citizenTerror,longitude,latitude
citizenTerror,13.11077,14.252776
citizenTerror,13.11077,14.252776
citizenTerror,90.38389,23.73336
citizenTerror,44.385499,33.215389
citizenTerror,70.451544,34.430141
citizenTerror,70.667489,34.083761
citizenTerror,36.089776,34.575398
citizenTerror,43.329466,16.118063
citizenTerror,43.329466,16.118063
citizenTerror,10.9807,7.986876
citizenTerror,37.745,48.145278
citizenTerror,90.383944,23.738967
citizenTerror,20.075833,32.116667
citizenTerror,28.401667,9.451667
citizenTerror,44.145278,34.016389
citizenTerror,13.309444,13.698611
citizenTerror,12.951875,11.133775
citizenTerror,45.449807,14.358866
citizenTerror,90.38389,23.73336
citizenTerror,28.573962,4.395878
citizenTerror,28.573962,4.396997
citizenTerror,44.610185,33.743465
citizenTerror,37.147262,36.211777
citizenTerror,12.064925,10.218072
citizenTerror,35.344157,32.019192
citizenTerror,44.385499,33.215389
citizenTerror,44.702782,33.376878
citizenTerror,44.372122,33.259511
citizenTerror,12.260514,11.765159
citizenTerror,20.120556,32.076111
citizenTerror,12.248567,31.930345
citizenTerror,43.328769,36.098192
citizenTerror,39.2333,48.7333
citizenTerror,38.7875,48.751667
citizenTerror,101.518424,3.073246
citizenTerror,34.196667,31.172222
citizenTerror,32.431502,34.771839
citizenTerror,44.278691,33.370243
citizenTerror,44.157787,33.462707
citizenTerror,14.268611,27.545833
citizenTerror,44.620853,34.881257
citizenTerror,44.458333,33.388889
citizenTerror,13.150045,11.833071
citizenTerror,13.153422,11.836016
citizenTerror,44.434701,33.223512
citizenTerror,44.396927,33.425404
citizenTerror,44.433547,33.332728
citizenTerror,44.620853,34.881257
citizenTerror,42.734487,35.575926
citizenTerror,90.358103,23.766183
citizenTerror,90.397786,23.727533
citizenTerror,90.385683,23.728832
citizenTerror,34.110425,31.211645
citizenTerror,40.367542,36.656185
citizenTerror,40.367542,36.656185
citizenTerror,40.370027,36.656756
citizenTerror,44.554901,33.16715
citizenTerror,12.492523,11.80809
citizenTerror,44.411096,33.387476
citizenTerror,44.353988,33.061667
citizenTerror,43.223476,36.510153
citizenTerror,93.92081,24.806454
citizenTerror,90.432047,23.713526
citizenTerror,90.385683,23.728832
citizenTerror,70.866719,35.314054
citizenTerror,90.663056,22.666389
citizenTerror,91.795424,22.355984
citizenTerror,32.431502,34.771839
citizenTerror,44.35685,32.98484
citizenTerror,62.031097,32.482463
citizenTerror,63.884167,26.014444
citizenTerror,12.739722,10.161389
citizenTerror,13.634423,32.433842
citizenTerror,43.766667,35.31674
citizenTerror,-5.917878,54.646068
citizenTerror,36.420501,34.179039
citizenTerror,12.260514,11.765159
