policeTerror,longitude,latitude
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,71.121736,34.834032
policeTerror,69.04295,37.116762
policeTerror,68.925811,33.93706
policeTerror,101.18359,5.931919
policeTerror,101.18354,6.165661
policeTerror,39.009361,32.740792
policeTerror,68.572354,33.267183
policeTerror,69.705056,34.797243
policeTerror,35.238565,31.770701
policeTerror,35.099826,31.532569
policeTerror,80.228918,19.594804
policeTerror,64.809208,35.610519
policeTerror,35.245682,31.780308
policeTerror,75.937321,11.733918
policeTerror,69.216563,33.602144
policeTerror,68.572354,33.267183
policeTerror,66.324431,31.80604
policeTerror,70.850997,35.361161
policeTerror,69.653581,34.848961
policeTerror,65.870388,32.624694
policeTerror,66.991535,24.894265
policeTerror,45.306192,2.04197
policeTerror,74.321337,31.501357
policeTerror,64.866987,36.258398
policeTerror,44.434701,33.223512
policeTerror,126.300016,8.800501
policeTerror,19.100646,44.386232
policeTerror,71.983333,34.383333
policeTerror,68.915823,37.180194
policeTerror,20.082436,32.111164
policeTerror,63.424187,32.163577
policeTerror,64.368874,31.585319
policeTerror,66.911308,32.107527
policeTerror,69.717773,33.569174
policeTerror,63.76864,35.170056
policeTerror,65.684989,31.097641
policeTerror,68.866277,36.72835
policeTerror,65.342702,36.181522
policeTerror,65.484619,36.304295
policeTerror,65.849269,36.858713
policeTerror,65.463681,36.170774
policeTerror,65.442642,36.146532
policeTerror,45.69972,18.520277
policeTerror,42.559745,16.882694
policeTerror,70.090885,33.467621
policeTerror,67.059085,24.883215
policeTerror,44.694639,1.807923
policeTerror,44.373779,33.664354
policeTerror,67.354256,24.869999
policeTerror,-5.959678,54.618686
policeTerror,70.451013,34.849305
policeTerror,69.920405,33.337467
policeTerror,69.920405,33.337467
policeTerror,70.113889,33.443889
policeTerror,65.456432,32.623739
policeTerror,29.391811,-3.344792
policeTerror,29.366667,-3.383333
policeTerror,67.009939,24.861462
policeTerror,66.973333,24.934167
policeTerror,44.623114,33.749899
policeTerror,44.42526,33.295433
policeTerror,45.100047,34.300802
policeTerror,44.42526,33.295433
policeTerror,122.192254,6.606469
policeTerror,122.6223,7.803985
policeTerror,80.946166,26.846694
policeTerror,67.021073,24.860061
policeTerror,66.945189,24.975906
policeTerror,41.874177,3.928872
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
policeTerror,71.076543,36.781832
