govTerror,longitude,latitude
govTerror,68.416667,33.55
govTerror,69.345007,33.692994
govTerror,44.363851,33.368141
govTerror,39.009361,32.740792
govTerror,45.320138,2.049184
govTerror,70.189658,34.652951
govTerror,45.289055,2.059854
govTerror,45.347699,2.038497
govTerror,120.617308,18.332644
govTerror,23.736655,37.986472
govTerror,70.879786,37.005424
govTerror,69.916395,33.339385
govTerror,-7.326649,55.003344
govTerror,65.72564,31.619192
govTerror,101.508209,6.211069
govTerror,44.21901,33.512586
govTerror,47.427317,6.773224
govTerror,-3.002562,16.766589
govTerror,69.128121,34.447937
govTerror,40.055765,1.74741
govTerror,0,0
govTerror,70.780064,34.267417
govTerror,23.191802,11.291012
govTerror,69.526124,33.688122
govTerror,71.724722,34.237222
govTerror,122.587747,7.782253
govTerror,36.956509,-7.703889
govTerror,71.338333,34.744167
govTerror,44.330751,33.333366
govTerror,41.410833,2.655833
govTerror,68.950979,33.969093
govTerror,90.333333,25.5
govTerror,64.57,31.820833
govTerror,123.222222,8.745833
govTerror,69.166667,34.533333
govTerror,44.349668,33.239099
govTerror,29.461035,0.485721
govTerror,42.541751,-0.363571
govTerror,74.527652,34.14778
govTerror,66.589953,29.025836
govTerror,29.461035,0.485721
govTerror,62.119746,32.383535
govTerror,45.294693,2.021261
govTerror,126.010043,8.340676
govTerror,-7.314422,55.039475
govTerror,-7.314422,55.039475
govTerror,69.383108,33.706199
govTerror,44.936944,33.978611
govTerror,69.379383,36.985233
govTerror,47.430833,6.769722
govTerror,45.351039,2.058758
govTerror,44.276323,33.341954
govTerror,124.880109,12.148001
govTerror,101.693333,6.098333
govTerror,66.290278,28.121944
govTerror,69.129926,34.448129
govTerror,65.71131,31.594435
govTerror,41.335556,3.152778
govTerror,123.018956,7.585136
govTerror,31.336853,29.848319
govTerror,90.334556,25.650939
govTerror,42.951214,14.801955
govTerror,65.086416,35.123449
govTerror,94.042305,23.956762
govTerror,45.319814,2.0352
govTerror,120.822297,15.235298
govTerror,62.028239,32.480918
govTerror,1.410524,18.446536
govTerror,64.370018,31.592461
govTerror,69.153155,34.533175
govTerror,65.49744,28.038815
govTerror,43.3,33.416667
govTerror,67.33544,30.619647
govTerror,12.485266,9.203959
govTerror,33.803276,31.132093
govTerror,31.111022,30.031185
govTerror,65.92624,36.221847
govTerror,69.153155,34.533175
govTerror,44.583139,33.100298
govTerror,124.6,12.066667
govTerror,71.435873,33.974411
govTerror,67.766708,32.81493
govTerror,44.48659,33.321917
govTerror,45.116717,2.142623
govTerror,120.731506,17.680918
govTerror,69.153155,34.533175
govTerror,44.328386,33.277992
govTerror,36.30111,33.527313
govTerror,68.597313,30.366942
govTerror,44.4,33.3
govTerror,124.586762,12.08143
govTerror,-7.998274,12.645735
govTerror,38.278149,34.556886
govTerror,70.182716,34.238695
govTerror,29.19372,40.217894
govTerror,65.363542,27.945749
govTerror,44.34494,33.268315
govTerror,71.435873,33.974411
govTerror,30.326253,5.348133
govTerror,-2.523109,16.843955
govTerror,45.32013,2.03334
govTerror,45.340469,2.032623
govTerror,64.111486,26.978693
govTerror,65.538889,32.923889
govTerror,46.733611,15.19
govTerror,66.884313,25.026813
govTerror,13.352793,52.517573
govTerror,66.906944,32.106111
govTerror,-7.998274,12.645735
govTerror,123.598999,12.15218
govTerror,71.477429,34.565494
govTerror,-2.523109,16.843955
govTerror,121.159261,14.586433
govTerror,23.959906,32.082023
govTerror,68.866111,34.395556
govTerror,23.959906,32.082023
govTerror,75.50702,23.844004
govTerror,101.405528,6.853994
govTerror,69.362241,36.419964
govTerror,68.934585,33.796944
govTerror,62.3225,25.126389
govTerror,49.1825,11.284722
govTerror,122.592846,8.089721
govTerror,-2.955818,18.865124
govTerror,44.213536,15.355873
govTerror,2.748826,42.485952
govTerror,44.173806,13.843083
govTerror,63.367919,34.711935
govTerror,66.046353,35.670747
govTerror,14.017035,31.761679
govTerror,65.114474,35.161423
govTerror,93.906269,24.663717
govTerror,93.52365,24.48338
govTerror,72.091567,34.144763
govTerror,72.091567,34.144763
govTerror,71.102888,33.117365
govTerror,71.158611,33.321389
govTerror,71.067778,32.941111
govTerror,-0.04655,16.277076
govTerror,44.4,33.3
govTerror,74.223802,31.975507
govTerror,71.975452,34.015856
govTerror,93.695924,24.374687
govTerror,45.033333,12.8
govTerror,70.113206,32.822868
govTerror,35.380072,33.543599
govTerror,44.010392,13.574698
govTerror,120.531929,18.060094
govTerror,125.762524,8.966092
govTerror,66.18317,36.901498
govTerror,121.984545,6.697466
govTerror,44.276323,33.341954
govTerror,20.228628,30.753844
govTerror,120.987632,15.690683
govTerror,68.934423,33.79703
govTerror,68.891584,33.692904
govTerror,61.884839,32.163699
govTerror,69.893016,32.316295
govTerror,-97.50543,25.870624
govTerror,65.709989,31.624271
govTerror,24.666632,14.200357
govTerror,117.063256,7.984834
govTerror,66.998676,30.194298
govTerror,40.053203,1.75018
govTerror,121.066591,14.343387
govTerror,69.287754,35.804295
govTerror,44.4,33.3
govTerror,121.032256,15.487124
govTerror,121.193351,14.074255
govTerror,14.376558,50.133634
govTerror,43.3,33.416667
govTerror,72.74336,31.429127
govTerror,34.146286,31.083629
govTerror,68.871359,36.723348
govTerror,43.864934,33.164486
govTerror,74.461454,34.285858
govTerror,71.555437,34.218825
govTerror,71.023413,34.215062
govTerror,62.399326,34.928556
govTerror,44.48659,33.321918
govTerror,44.422369,33.3669
govTerror,31.235712,30.04442
govTerror,64.821971,36.227055
govTerror,65.704341,31.613774
govTerror,63.424597,32.164104
govTerror,13.184319,32.887714
govTerror,44.363851,33.368141
govTerror,62.508571,34.869942
govTerror,120.901564,14.441139
govTerror,81.934386,19.203677
govTerror,13.184319,32.887714
govTerror,69.325816,36.38246
govTerror,121.967127,6.702405
govTerror,44.583139,33.100298
govTerror,65.842746,36.041787
govTerror,32.616867,46.635417
govTerror,65.748403,31.612183
govTerror,44.403863,14.547845
govTerror,29.734248,-3.697227
govTerror,64.786564,32.354621
govTerror,71.429936,34.856902
govTerror,63.682984,29.98639
govTerror,71.387577,34.00137
govTerror,70.61836,34.171436
govTerror,70.603833,32.989724
govTerror,121.825905,17.000813
govTerror,44.4,33.3
govTerror,40.056176,1.736307
govTerror,45.353161,2.047187
govTerror,45.275856,2.028016
govTerror,40.060012,1.747214
govTerror,23.321396,42.698758
govTerror,69.142336,34.499493
govTerror,45.122575,2.139694
govTerror,63.751137,34.340314
govTerror,44.470086,33.340624
govTerror,74.343896,34.211475
govTerror,122.455092,10.724419
